Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
-170,563.08,507.95,499.11,400.33,217.57,20.31,0
-171,572.1,516.21,507.42,407.11,221.36,20.75,0
-172,580.13,523.67,515.11,413.51,225.04,21.26,0
-173,586.5,529.74,521.6,419.04,228.34,21.81,0
-174,590.6,533.84,526.31,423.24,231.01,22.37,0
-175,591.93,535.54,528.78,425.74,232.82,22.91,0
-176,590.16,534.51,528.69,426.24,233.61,23.41,0
-177,585.2,530.65,525.89,424.61,233.28,23.85,0
-178,577.21,524.09,520.46,420.91,231.86,24.21,0
-179,566.59,515.16,512.72,415.36,229.43,24.48,0
-180,553.96,504.42,503.17,408.33,226.19,24.68,0
-181,540.14,492.58,492.49,400.38,222.42,24.81,0
-182,526.04,480.46,481.47,392.11,218.44,24.89,0
-183,512.61,468.9,470.94,384.21,214.63,24.97,0
-184,500.75,458.73,461.71,377.3,211.33,25.06,0
-185,491.26,450.66,454.51,371.99,208.88,25.22,0
-186,484.78,445.29,449.91,368.75,207.52,25.46,0
-187,481.73,443,448.32,367.91,207.46,25.81,0
-188,482.35,444,449.95,369.63,208.77,26.27,0
-189,486.59,448.25,454.74,373.88,211.45,26.85,0
-190,494.18,455.5,462.44,380.43,215.35,27.52,0
-191,504.61,465.25,472.54,388.86,220.23,28.24,0
-192,517.13,476.8,484.29,398.54,225.73,28.95,0
-193,530.81,489.29,496.81,408.73,231.4,29.6,0
-194,544.57,501.72,509.05,418.58,236.77,30.1,0
-195,557.34,513.06,519.99,427.2,241.32,30.39,0
-196,568.05,522.37,528.63,433.81,244.61,30.42,0
-197,575.84,528.85,534.21,437.77,246.29,30.15,0
-198,580.11,531.96,536.2,438.67,246.15,29.57,0
-199,580.56,531.48,534.42,436.39,244.14,28.7,0
-200,577.31,527.54,529.04,431.11,240.39,27.58,0
-201,570.78,520.58,520.58,423.28,235.19,26.28,0
-202,561.7,511.31,509.8,413.56,228.94,24.86,0
-203,551.04,500.63,497.64,402.76,222.12,23.42,0
-204,539.84,489.53,485.15,391.73,215.23,22.01,0
-205,529.18,479,473.33,381.32,208.74,20.71,0
-206,520.04,469.93,463.09,372.27,203.07,19.57,0
-207,513.25,463.1,455.19,365.2,198.57,18.61,0
-208,509.46,459.07,450.21,360.57,195.48,17.86,0
-209,509.05,458.2,448.5,358.66,193.97,17.34,0
-210,512.19,460.62,450.19,359.58,194.09,17.05,0
-211,518.76,466.24,455.19,363.27,195.81,16.98,0
-212,528.38,474.72,463.19,369.48,199,17.14,0
-213,540.42,485.52,473.68,377.82,203.46,17.5,0
-214,554.04,497.87,485.92,387.71,208.9,18.06,0
-215,568.18,510.84,499.05,398.48,214.97,18.79,0
-216,581.66,523.4,512.06,409.33,221.23,19.66,0
-217,593.3,534.47,523.91,419.44,227.26,20.66,0
-218,601.95,543.02,533.58,427.98,232.61,21.72,0
-219,606.68,548.21,540.21,434.25,236.87,22.81,0
-220,606.85,549.43,543.14,437.69,239.71,23.88,0
-221,602.21,546.41,542.04,437.99,240.93,24.88,0
-222,592.94,539.26,536.92,435.1,240.45,25.76,0
